entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label,role,domain,mb_transferred
USR_035,service_account,2026-07-12 08:13:32,192.168.90.34.239,"Singapore_Facility (1.3521, 103.8198)",BMS_Controller_Lighting_02,token,1489,login -> authenticate -> select_dashboard -> view_logs -> logout,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,Forge_Sync_Service,OT,133.1
USR_030,user,2026-07-12 08:20:59,192.168.90.3.118,"Singapore_Facility (1.3521, 103.8198)",Corporate_VPN,password,2604,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,HR_Specialist,IT,149.45
USR_015,user,2026-07-12 09:04:21,192.168.90.151.142,"Singapore_Facility (1.3521, 103.8198)",Honeywell_Forge_Gateway,certificate,1002,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,HVAC_Engineer,OT,40.83
USR_008,service_account,2026-07-12 09:18:27,192.168.50.117.1,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,token,3017,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Forge_Sync_Service,OT,146.06
USR_010,user,2026-07-12 09:40:10,192.168.90.109.153,"Singapore_Facility (1.3521, 103.8198)",Jira_Cloud,password,320,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,IT_Analyst,IT,63.43
USR_004,user,2026-07-12 10:03:37,10.300.129.236,"London_Office (51.5074, -0.1278)",GitHub_Enterprise,biometric,3552,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Finance_Manager,IT,32.04
USR_007,user,2026-07-12 10:15:12,10.200.138.115,"Houston_Hub (29.7604, -95.3698)",BMS_Controller_HVAC_01,certificate,634,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,SCADA_Specialist,OT,35.69
USR_034,user,2026-07-12 10:16:35,10.300.175.185,"London_Office (51.5074, -0.1278)",Honeywell_Forge_Gateway,certificate,529,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,SCADA_Specialist,OT,115.12
USR_038,user,2026-07-12 10:25:23,192.168.50.36.131,"Phoenix_Plant (33.4484, -112.0740)",Active_Directory,token,2081,login -> authenticate -> select_dashboard -> view_logs -> logout,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Software_Engineer,IT,115.81
USR_024,user,2026-07-12 10:48:10,10.300.245.200,"London_Office (51.5074, -0.1278)",Access_Control_Gateway_03,certificate,2232,login -> authenticate -> select_dashboard -> view_logs -> logout,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,HVAC_Engineer,OT,93.85
USR_031,user,2026-07-12 10:51:26,10.100.25.25,"Atlanta_HQ (33.7490, -84.3880)",Active_Directory,biometric,2759,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,Finance_Manager,IT,59.6
USR_007,user,2026-07-12 11:05:24,10.200.92.217,"Houston_Hub (29.7604, -95.3698)",Honeywell_Forge_Gateway,certificate,1468,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,SCADA_Specialist,OT,47.03
USR_002,user,2026-07-12 11:07:59,10.200.225.253,"Houston_Hub (29.7604, -95.3698)",Workday,token,3466,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,Software_Engineer,IT,43.52
USR_017,service_account,2026-07-12 11:13:42,10.200.81.62,"Houston_Hub (29.7604, -95.3698)",Industrial_PLC_Substation_01,token,1147,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 11 Enterprise | MAC: 00:1a:2b:3c:4d:5e | Protocol: RDP/SSH,normal,Forge_Sync_Service,OT,28.32
DEV_043,user,2026-07-12 11:17:44,192.168.50.166.19,"Phoenix_Plant (33.4484, -112.0740)",Industrial_PLC_Substation_01,certificate,2555,connect_vpn -> fetch_repo -> git_pull -> build_code -> disconnect,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,84.78
DEV_043,user,2026-07-12 11:30:35,192.168.50.68.136,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,2544,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,SCADA_Specialist,OT,145.01
USR_038,user,2026-07-12 11:38:02,192.168.50.21.108,"Phoenix_Plant (33.4484, -112.0740)",AWS_Console,token,2752,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,Software_Engineer,IT,89.13
DEV_046,user,2026-07-12 11:40:03,10.100.18.232,"Atlanta_HQ (33.7490, -84.3880)",Active_Directory,password,188,modbus_read -> check_temperature -> setpoint_verify -> log_telemetry,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,IT_Analyst,IT,19.92
USR_018,edge_device,2026-07-12 11:42:31,192.168.50.139.34,"Phoenix_Plant (33.4484, -112.0740)",BMS_Controller_HVAC_01,certificate,3022,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Windows 10 IoT | MAC: 70:85:c2:14:99:aa | Protocol: Modbus/BACnet,normal,BMS_HVAC_Gateway_01,OT,90.67
USR_016,user,2026-07-12 11:55:59,10.100.114.207,"Atlanta_HQ (33.7490, -84.3880)",Honeywell_Forge_Gateway,certificate,3588,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,SCADA_Specialist,OT,23.71
USR_006,user,2026-07-12 11:59:48,10.100.43.105,"Atlanta_HQ (33.7490, -84.3880)",BMS_Controller_HVAC_01,certificate,2049,ssh_connect -> check_service_status -> update_config -> service_restart -> exit,macOS 14.2 | MAC: a4:83:e7:91:02:11 | Protocol: HTTPS/TLS1.3,normal,HVAC_Engineer,OT,39.92
USR_004,user,2026-07-12 12:05:40,10.300.213.71,"London_Office (51.5074, -0.1278)",GitHub_Enterprise,biometric,240,login -> authenticate -> select_dashboard -> view_logs -> logout,Ubuntu 22.04 LTS | MAC: 08:00:27:11:22:33 | Protocol: OPC-UA,normal,Finance_Manager,IT,56.7
USR_010,user,2026-07-12 12:12:18,192.168.90.248.15,"Singapore_Facility (1.3521, 103.8198)",Active_Directory,password,2432,token_auth -> sync_telemetry_batch -> push_forge_cloud -> close_session,Honeywell-Firmware v3.4 | MAC: 90:b1:1c:00:44:fe | Protocol: MQTT/TLS,normal,IT_Analyst,IT,18.53
